handle,url_handle,gov_label,name,description,followers,verified,date_scraped,filename,followers_num
KremlinRussia,KremlinRussia,Государственный орган (Россия),Президент России,Кремль. Официальные новостиОфициальный Telegram-канал: https://t.me/news_kremlin,3.6M,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/KremlinRussia_2022-06-19.html,3600000
KremlinRussia_E,KremlinRussia_E,Russia government organization,President of Russia,Official Kremlin newsOfficial Telegram channel: https://t.me/news_kremlin_eng…,1.7M,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/KremlinRussia_E_2022-06-19.html,1700000
MID_RF,MID_RF,Государственный орган (Россия),МИД России,"Официальный аккаунт МИД России  (For tweets in English - @MFA_Russia, Cuenta en Español - @MAE_Rusia, صفحة باللغة العربية - @russia_ar)",1.2M,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/MID_RF_2022-06-19.html,1200000
MedvedevRussiaE,MedvedevRussiaE,Russia government official,Dmitry Medvedev,"Deputy Chair of the Security Council of the Russian Federation. For tweets in Russian, follow @MedvedevRussia",1M,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/MedvedevRussiaE_2022-06-19.html,1000000
sputnikvaccine,sputnikvaccine,NA,Sputnik V,"Sputnik V is the world’s first registered COVID-19 vaccine with over 91.6% efficacy, developed by Gamaleya Inst. Authorized in 71 countries.",1M,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/sputnikvaccine_2022-06-19.html,1000000
Pravitelstvo_RF,Pravitelstvo_RF,Государственный орган (Россия),Правительство России,"Новости о Председателе Правительства России и Правительстве России. For tweets in English, follow @GovernmentRF",648.5K,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/Pravitelstvo_RF_2022-06-19.html,648500
natomission_ru,natomission_ru,Russia government organization,Russia and NATO,NA,571.2K,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/natomission_ru_2022-06-19.html,571200
mfa_russia,mfa_russia,Russia government organization,MFA Russia,Ministry of Foreign Affairs of Russia  (Official account) | Country's account @Russia | По-русски @MID_RF | Español @MAE_Rusia | Arabic - @russia_ar,553.4K,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/mfa_russia_2022-06-19.html,553400
Russia,Russia,Russia government organization,Russia,"Find inspiring, fresh insights from #Russia Home to more than 190 ethnic groups & authentic cultures, with 11 time & 7 climate zones.  Feel our warm welcome",447.3K,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/Russia_2022-06-19.html,447300
GovernmentRF,GovernmentRF,Russia government organization,Government of Russia,Follow news on the work of the Prime Minister and the Russian Government in English. Аккаунт на русском языке - @Pravitelstvo_RF,350K,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/GovernmentRF_2022-06-19.html,350000
mod_russia,mod_russia,"Правительственная учетная запись, Россия",Минобороны России,"Министерство обороны Российской Федерации Telegram: http://t.me/mod_russia, http://t.me/mod_russia_enRutube: http://rutube.ru/channel/24675435/…",333.7K,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/mod_russia_2022-06-19.html,333700
rvio_ru,rvio_ru,NA,Российское военно-историческое общество,Председатель — Владимир Мединский,266K,FALSE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/rvio_ru_2022-06-19.html,266000
mvd_official,mvd_official,Государственный орган (Россия),Сайт МВД России,Твиттер-лента МВД России. Приём обращений онлайн и ссылки на ресурсы МВД России: http://taplink.cc/mvd.russia #новости #МВД #полиция,169.5K,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/mvd_official_2022-06-19.html,169500
RussianEmbassy,RussianEmbassy,Russia government organization,"Russian Embassy, UK",Embassy of the Russian Federation in London - official Twitter feed (на русском языке - @RussianEmbassyR),168.2K,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/RussianEmbassy_2022-06-19.html,168200
Russia_AR,Russia_AR,روسيا مؤسسة حكومية,روسيا بالعربية,الحساب الرسمي لوزارة الخارجية  #روسيا_الاتحادية,142.6K,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/Russia_AR_2022-06-19.html,142600
RusEmbUSA,RusEmbUSA,Russia government organization,Russian Embassy in USA,Official Twitter feed of the Russian Embassy in the USA @RussiaInUSA http://facebook.com/RusEmbUSA Subscribe to Weekly Newsletter: http://bit.ly/31U5KQe,113.1K,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/RusEmbUSA_2022-06-19.html,113100
RussiaUN,RussiaUN,Russia government organization,Russia at the United Nations,Official Twitter feed of the Russian Mission to the @UN in NY / Официальный Твиттер-аккаунт Постоянного представительства России  при ООНhttp://t.me/russiaun,105.5K,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/RussiaUN_2022-06-19.html,105500
EmbassyofRussia,EmbassyofRussia,Russia government organization,Russia in RSA,Official twitter-account of the Embassy of Russia  in South Africa. Follow us on Facebook http://FB.com/RusEmbassySouthAfrica… Instagram http://instagram.com/embassyofrussia,102.2K,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/EmbassyofRussia_2022-06-19.html,102200
Olympic_Russia,Olympic_Russia,NA,Olympic Russia,Официальный аккаунт Олимпийского комитета России / Russian Olympic Committee,98.5K,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/Olympic_Russia_2022-06-19.html,98500
RusEmbassyJ,RusEmbassyJ,ロシアの政府機関,駐日ロシア連邦大使館,EMBASSY OF RUSSIA IN JAPAN ロシアの対外政策、ロシアの外交、ロ日関係、ロシア国内等 〒106-0041 東京都港区麻布台2-1-1 電話:03-3583-4224 FAX:03-3505-0593         https://t.me/rusembjp,94K,FALSE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/RusEmbassyJ_2022-06-19.html,94000
aksenov_sv,aksenov_sv,NA,Сергей Аксёнов,Официальный твиттер-аккаунт Главы Республики Крым,88K,FALSE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/aksenov_sv_2022-06-19.html,88000
rsgov,rsgov,Russia government account,Russian house,Official account of Rossotrudnichestvo,86.8K,FALSE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/rsgov_2022-06-19.html,86800
mae_rusia,mae_rusia,Organización gubernamental de Rusia,Cancillería Rusia,Ministerio de Asuntos Exteriores de Rusia  Conoce nuestro país @Russia. English @mfa_russia. Русский @MID_RF.Telegram  https://t.me/MAERusia,74.3K,TRUE,2022-06-19,inst/helper/platform_labels/ru_dips/twitter/raw/20220619/html/mae_rusia_2022-06-19.html,74300
